"Indicadores de salud del suelo","Función del suelo","Medir cada","Tipo de curva y mejoría"
"La proteína del suelo ACE","Ciclo de nutrientes, biodiversidad y hábitat, filtración y resiliencia","1-3 años","Más es mejor"
"La estabilidad de agregados","Soporte físico, relaciones hídricas, biodiversidad y hábitat, filtración y resiliencia","1-3 años","Más es mejor"
"Conductividad eléctrica (EC)","Soporte físico, ciclo de nutrientes, filtración y resiliencia","1-3 años","Menos es mejor"
"El carbono potencialmente mineralizable (MinC)","Ciclo de nutrientes, biodiversidad y hábitat, filtración y resiliencia","1-3 años","Más es mejor"
"El carbono oxidable de permanganato (POXC)","Biodiversidad y hábitat, Ciclo de nutrientes, filtración y resiliencia","1-3 años","Más es mejor"
"El nitrógeno potencialmente mineralizable (PMN)","Ciclo de nutrientes, biodiversidad y hábitat, filtración y resiliencia","1-3 años","Más es mejor"
"El pH del suelo","Nutrient cycling, filtración y resiliencia","1-3 años","Rango óptimo"
"Nitrógeno total","Ciclo de nutrientes, biodiversidad y hábitat, filtración y resiliencia","1-3 años","Rango óptimo"
"Los nutrientes esenciales de las plantas","Ciclo de nutrientes","1-3 años","Rango óptimo"
"Densidad aparente","Soporte físico, relaciones hídricas, biodiversidad y hábitat, filtración y resiliencia","3-5 años","Rango óptimo"
"Capacidad de intercambio catiónico (CEC)","Ciclo de nutrientes, filtración y resiliencia","3-5 años","Más es mejor"
"La infiltración","Relaciones hídricas, soporte físico","3-5 años","Más es mejor"
"Materia organica (SOM)","Ciclo de nutrientes, filtración y resiliencia","3-5 años","Más es mejor"
"Capacidad de retención de agua (WHC)","Relaciones hídricas, soporte físico","3-5 años","Más es mejor"
